Province/State,Country/Region,Lat,Long,4/20/20
Arkansas,US,34.26767081,-91.92619839,126
Arkansas,US,35.56759135,-93.46036368,22
Arkansas,US,33.24116713,-93.60677071,4
Arkansas,US,36.04188196,-91.10867198,26
Arkansas,US,34.78498904,-90.78383866,3
Arkansas,US,33.95317155,-91.74002806,258
Arkansas,US,35.21413234,-93.71951016,3
Arkansas,US,34.75392199,-91.88742357,26
Arkansas,US,36.01038185,-93.72524943,1
Arkansas,US,36.26844485,-92.68451899,1
Arkansas,US,33.31403423,-93.89285258,30
Arkansas,US,35.76271485,-90.05194370000002,9
Arkansas,US,34.6815935,-91.20540287,4
Arkansas,US,33.66340119,-93.30632432,1
Arkansas,US,35.91947491,-93.21612969,2
Arkansas,US,33.58839816,-92.87795984,5
Arkansas,US,34.9459153,-92.94372564,3
Arkansas,US,34.43268455,-90.84800154,4
Arkansas,US,34.16250414,-93.65789349,2
Arkansas,US,35.57433534,-90.66268713,10
Arkansas,US,34.48254879,-94.22728802,7
Arkansas,US,35.44871474,-93.03212219,35
Arkansas,US,34.83624419,-91.55162157,2
Arkansas,US,34.77054088,-92.31355101,388
Arkansas,US,36.3415714,-91.02455531,14
Arkansas,US,35.02201976,-90.74828138,65
Arkansas,US,34.64916145,-92.67583224,45
Arkansas,US,34.85588887,-94.0632176,1
Arkansas,US,35.9109364,-92.69936482,6
Arkansas,US,35.19605503,-94.27162713,11
Arkansas,US,33.99780401,-94.2424869,10
Arkansas,US,36.16258158,-91.47819342,2
Arkansas,US,35.86251946,-92.15684085,7
Arkansas,US,33.16887091,-92.59746952,26
Arkansas,US,35.58095779,-92.51295036,26
Arkansas,US,35.976844,-94.21800746,54
Arkansas,US,35.25688493,-91.74908296,29
Arkansas,US,35.18902527,-91.2439489,1
Arkansas,US,35.00292371,-93.41171338,2
California,US,37.64629437,-121.8929271,1193
California,US,38.59678594,-119.8223594,1
California,US,38.44583082,-120.65696,7
California,US,39.66727762,-121.6005252,16
California,US,38.20537103,-120.552913,12
California,US,39.17881957,-122.2331726,3
California,US,37.91923498,-121.9289527,707
California,US,41.74228275,-123.8974063,2
California,US,38.77965956,-120.5233166,36
California,US,36.75733899,-119.6466953,315
California,US,39.59875897,-122.3938452,4
California,US,40.69923009,-123.876044,52
California,US,33.0393082,-115.3669042,160
California,US,36.51112084,-117.41119779999998,18
California,US,35.34329425,-118.7277796,643
California,US,36.07409056,-119.8159973,30
California,US,39.10124298,-122.7536244,6
California,US,34.30828379,-118.2282411,13823
California,US,37.21513971,-119.76655890000002,34
California,US,38.07122463,-122.7210631,195
California,US,39.4381191,-123.3911313,5
California,US,37.18922369,-120.7209035,90
California,US,37.93899289,-118.8872409,24
California,US,36.21862405,-121.2413397,141
California,US,38.50735751,-122.332839,48
California,US,39.30394768,-120.7627281,36
California,US,33.70147516,-117.76459979999998,1676
California,US,39.06167234,-120.7240569,132
California,US,40.00355989,-120.8395236,4
California,US,33.74314981,-115.9933578,2847
California,US,38.45106826,-121.3425374,940
California,US,36.60308176,-121.069975,44
California,US,34.84060306,-116.1774685,1406
California,US,33.03484597,-116.7365326,2268
California,US,37.75215114,-122.4385672,1216
California,US,37.93433732,-121.2730061,428
California,US,35.38822029,-120.4039028,132
California,US,37.4228808,-122.32755459999998,920
California,US,34.65329488,-120.0188492,394
California,US,37.23104908,-121.6970462,1922
California,US,37.05580291,-122.0066524,106
California,US,40.76391419,-122.0396884,26
California,US,41.59198861,-122.5407434,5
California,US,38.26827353,-121.9357113,180
California,US,38.52746429,-122.8862506,181
California,US,37.55862499,-120.9970722,226
California,US,39.03417539,-121.6945899,26
California,US,40.12570935,-122.2370171,1
California,US,36.22026558,-118.8020203,422
California,US,38.02644018,-119.9525093,2
California,US,34.44465746,-119.0910613,428
California,US,38.68278902,-121.9018288,137
California,US,39.26255932,-121.3535644,16
Colorado,US,39.87432092,-104.3362578,915
Colorado,US,37.57250606,-105.7885451,7
Colorado,US,39.64977461,-104.3353617,1536
Colorado,US,37.19474156,-107.0476867,7
Colorado,US,37.31940883,-102.5603223,10
Colorado,US,40.09313619,-105.3546767,352
