Country_Code,Pop Density (per sqkm),Ages 0-9,Ages 10-19,Ages 20-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80+,Population Total
UKR,77.02966735,0.107897746,0.094644011,0.123528307,0.164012554,0.140590456,0.138322453,0.121686547,0.068248996,0.041068929,44622517
URY,19.70802765,0.137150544,0.141526807,0.148506504,0.132756306,0.129041919,0.113087041,0.091492162,0.061912162,0.044526555,3449290
USA,35.76608858,0.122578425,0.129519693,0.141230125,0.132424395,0.123286921,0.13139985,0.113569948,0.067159014,0.038831628,327167429
UZB,77.46920545,0.202654994,0.163467454,0.189577805,0.161119159,0.114482247,0.092017854,0.051624107,0.016681607,0.008374774,32955398
VCT,282.5897436,0.147010253,0.16336993,0.155303511,0.142618637,0.129579893,0.12221214,0.076390527,0.039070865,0.024444243,110210
VNM,308.1252459,0.160111877,0.139451716,0.171254515,0.164734791,0.138147984,0.112172846,0.06778582,0.026758556,0.019581895,95540395
VUT,24.00984413,0.270692748,0.212645426,0.170164859,0.13044845,0.093984795,0.064778338,0.035735885,0.016062185,0.005487315,292675
WSM,69.30388693,0.270547806,0.207191222,0.153063306,0.112003386,0.101214513,0.080274107,0.046382974,0.02195505,0.007367637,196128
YEM,53.97785291,0.276254555,0.228460943,0.195905825,0.132275656,0.07451818,0.047241587,0.028800138,0.013049445,0.00349367,28498683
ZAF,47.63011978,0.200006663,0.174422816,0.178745118,0.167541721,0.115498215,0.081025282,0.051389608,0.024150505,0.007220072,57779620
ZMB,23.3414789,0.315884789,0.24771194,0.170815626,0.118234283,0.073810125,0.040074067,0.021322259,0.009607522,0.002539388,17351820
ZWE,37.32459093,0.298842484,0.233132129,0.169913286,0.128015354,0.079670792,0.045176826,0.027397847,0.013544965,0.004306318,14439018
